DATE,Monthly Mean Total Sunspot Number
1768-10-31,129.7
1768-11-30,151
1768-12-31,186.3
1769-01-31,123.2
1769-02-28,107
1769-03-31,107.2
1769-04-30,161.2
1769-05-31,122.7
1769-06-30,157.3
1769-07-31,197.7
1769-08-31,200.5
1769-09-30,248
1769-10-31,263.7
1769-11-30,246.8
1769-12-31,186.7
1770-01-31,173.3
1770-02-28,237.5
1770-03-31,133.5
1770-04-30,85
1770-05-31,116.8
1770-06-30,138.8
1770-07-31,183
1770-08-31,210.5
1770-09-30,174
1770-10-31,172.7
1770-11-30,220.3
1770-12-31,170.5
1771-01-31,60
1771-02-28,77
1771-03-31,77.8
1771-04-30,108.2
1771-05-31,254.5
1771-06-30,199.2
1771-07-31,112.8
1771-08-31,97.5
1771-09-30,169
1771-10-31,150
1771-11-30,166.2
1771-12-31,159.5
1772-01-31,168.2
1772-02-29,151.3
1772-03-31,51.8
1772-04-30,153.7
1772-05-31,63.3
1772-06-30,95
1772-07-31,128.8
1772-08-31,93.7
1772-09-30,84.2
1772-10-31,131
1772-11-30,102.2
1772-12-31,106.7
1773-01-31,91
1773-02-28,48.3
1773-03-31,85.3
1773-04-30,54.8
1773-05-31,68.5
1773-06-30,47.3
1773-07-31,46.2
1773-08-31,21.2
1773-09-30,48.8
1773-10-31,43.8
1773-11-30,68.2
1773-12-31,72
1774-01-31,78
1774-02-28,109
1774-03-31,92.8
1774-04-30,73
1774-05-31,85.5
1774-06-30,47.5
1774-07-31,29.2
1774-08-31,11
1774-09-30,13.2
1774-10-31,23.3
1774-11-30,29.5
1774-12-31,20.3
1775-01-31,7.3
1775-02-28,0
1775-03-31,19.3
1775-04-30,18.7
1775-05-31,6.5
1775-06-30,20.5
1775-07-31,1.7
1775-08-31,13.2
1775-09-30,5.3
1775-10-31,9.3
1775-11-30,25.2
1775-12-31,13.2
1776-01-31,36.2
1776-02-29,19.3
1776-03-31,10.5
1776-04-30,36.3
1776-05-31,18.7
1776-06-30,31.7
1776-07-31,1.7
1776-08-31,40.3
1776-09-30,26.7
1776-10-31,50
1776-11-30,58.3
1776-12-31,66.7
1777-01-31,75
1777-02-28,60.8
1777-03-31,65
1777-04-30,159.2
1777-05-31,133.8
1777-06-30,134.5
1777-07-31,158.3
1777-08-31,186.7
1777-09-30,193.7
1777-10-31,177.5
1777-11-30,243.3
1777-12-31,262.2
1778-01-31,295.5
1778-02-28,182.2
1778-03-31,223.3
1778-04-30,241.7
1778-05-31,398.2
1778-06-30,286
1778-07-31,255
1778-08-31,233.3
1778-09-30,286.2
1778-10-31,260.5
1778-11-30,250.5
1778-12-31,175
1779-01-31,191.2
1779-02-28,276.2
1779-03-31,196.7
1779-04-30,241.7
1779-05-31,233.3
1779-06-30,189.5
1779-07-31,238.3
1779-08-31,186.7
1779-09-30,185
1779-10-31,206.7
1779-11-30,190
1779-12-31,183.3
1780-01-31,116.7
1780-02-29,163.3
1780-03-31,163.3
1780-04-30,158.3
1780-05-31,178.7
1780-06-30,146.7
1780-07-31,143.3
1780-08-31,143.3
1780-09-30,156.2
1780-10-31,128.3
1780-11-30,100
1780-12-31,97.8
1781-01-31,164.5
1781-02-28,124.5
1781-03-31,88.3
1781-04-30,113.8
1781-05-31,174.5
1781-06-30,162.8
1781-07-31,122.5
1781-08-31,110
1781-09-30,85
1781-10-31,45.5
1781-11-30,111.7
1781-12-31,58.7
1782-01-31,90
1782-02-28,62.5
1782-03-31,61.7
1782-04-30,68.3
1782-05-31,90.5
1782-06-30,63.3
1782-07-31,61.7
1782-08-31,73.3
1782-09-30,56.7
1782-10-31,38.7
1782-11-30,52.5
1782-12-31,50
1783-01-31,46.7
1783-02-28,64.5
1783-03-31,44.5
1783-04-30,47.2
1783-05-31,38.3
1783-06-30,42
1783-07-31,53.7
1783-08-31,33.3
1783-09-30,30
1783-10-31,13.3
1783-11-30,25
1783-12-31,17.5
1784-01-31,21.7
1784-02-29,13.3
1784-03-31,18.3
1784-04-30,16.7
1784-05-31,10
1784-06-30,15
1784-07-31,10
1784-08-31,16.7
1784-09-30,16.7
1784-10-31,13.3
1784-11-30,28.3
1784-12-31,23.3
1785-01-31,10.8
1785-02-28,13.3
1785-03-31,15
1785-04-30,26.2
1785-05-31,34.5
1785-06-30,43.8
1785-07-31,60.5
1785-08-31,33.3
1785-09-30,53.3
1785-10-31,78.7
1785-11-30,67
1785-12-31,45.5
1786-01-31,62
1786-02-28,79.3
1786-03-31,79.5
1786-04-30,142.3
1786-05-31,153.8
1786-06-30,98.3
1786-07-31,138.3
1786-08-31,149.5
1786-09-30,185.8
1786-10-31,187.2
1786-11-30,193.3
1786-12-31,187.8
1787-01-31,224.5
1787-02-28,176.7
1787-03-31,145.7
1787-04-30,212
1787-05-31,224.7
1787-06-30,165.3
1787-07-31,213.3
1787-08-31,228.7
1787-09-30,262.2
1787-10-31,261.7
1787-11-30,235.8
1787-12-31,290
1788-01-31,230
1788-02-29,215.3
1788-03-31,238.8
1788-04-30,180.8
1788-05-31,188.3
1788-06-30,257
1788-07-31,235.8
1788-08-31,226.7
1788-09-30,235
1788-10-31,236.7
1788-11-30,157.8
1788-12-31,215.8
1789-01-31,190
1789-02-28,208.8
1789-03-31,200
1789-04-30,205.5
1789-05-31,205.8
1789-06-30,200
1789-07-31,195
1789-08-31,171.7
1789-09-30,186.7
1789-10-31,149.5
1789-11-30,223.3
1789-12-31,225.8
1790-01-31,171.7
1790-02-28,212.5
1790-03-31,160.5
1790-04-30,156.7
1790-05-31,155
1790-06-30,151.7
1790-07-31,115.5
1790-08-31,145
1790-09-30,128.8
1790-10-31,140.5
1790-11-30,136.7
1790-12-31,123.3
1791-01-31,121.2
1791-02-28,103.3
1791-03-31,123.3
1791-04-30,128.7
1791-05-31,122.8
1791-06-30,107
1791-07-31,118.3
1791-08-31,71.7
1791-09-30,110.8
1791-10-31,102.8
1791-11-30,111.7
1791-12-31,110
1792-01-31,96.7
1792-02-29,106.7
1792-03-31,105
1792-04-30,126.2
1792-05-31,103.3
1792-06-30,101.7
1792-07-31,76.3
1792-08-31,100
1792-09-30,98.3
1792-10-31,98.3
1792-11-30,95
1792-12-31,93.3
1793-01-31,93.3
1793-02-28,91.7
1793-03-31,92.5
1793-04-30,88.3
1793-05-31,87.2
1793-06-30,85
1793-07-31,83.3
1793-08-31,48.8
1793-09-30,40
1793-10-31,78.3
1793-11-30,73.3
1793-12-31,76.2
1794-01-31,75
1794-02-28,73.3
1794-03-31,63.3
1794-04-30,47.3
1794-05-31,92.8
1794-06-30,69.2
1794-07-31,68.3
1794-08-31,66.7
1794-09-30,18.5
1794-10-31,47.5
1794-11-30,112.3
1794-12-31,85.7
1795-01-31,35.7
1795-02-28,66.5
1795-03-31,21
1795-04-30,31
1795-05-31,51.7
1795-06-30,28.5
1795-07-31,21.5
1795-08-31,42.8
1795-09-30,22.5
1795-10-31,32.5
1795-11-30,41.7
1795-12-31,30
1796-01-31,36.7
1796-02-29,39.7
1796-03-31,26.2
1796-04-30,52.8
1796-05-31,35
1796-06-30,11.2
1796-07-31,44.8
1796-08-31,2.5
1796-09-30,30.7
1796-10-31,18.3
1796-11-30,14
1796-12-31,8.5
1797-01-31,24
1797-02-28,7
1797-03-31,6.7
1797-04-30,6.7
1797-05-31,12.2
1797-06-30,18.5
1797-07-31,7.2
1797-08-31,10
1797-09-30,9.5
1797-10-31,11.5
1797-11-30,9.7
1797-12-31,5
1798-01-31,3.3
1798-02-28,6.7
1798-03-31,20.7
1798-04-30,1.8
1798-05-31,0
1798-06-30,0
1798-07-31,0
1798-08-31,5
1798-09-30,4
1798-10-31,2.5
1798-11-30,20.8
1798-12-31,16.5
1799-01-31,2.7
1799-02-28,21
1799-03-31,36.2
1799-04-30,14
1799-05-31,13.7
1799-06-30,17.7
1799-07-31,3.5
1799-08-31,0
1799-09-30,0
1799-10-31,7.7
1799-11-30,4.5
1799-12-31,14.3
1800-01-31,11.5
1800-02-28,15.5
1800-03-31,23.2
1800-04-30,0
1800-05-31,8.3
1800-06-30,39.5
1800-07-31,35
1800-08-31,32.5
1800-09-30,19.2
1800-10-31,20.5
1800-11-30,17.5
1800-12-31,66.8
1801-01-31,45
1801-02-28,48.3
1801-03-31,50
1801-04-30,51.7
1801-05-31,53.3
1801-06-30,52
1801-07-31,58.3
1801-08-31,64.5
1801-09-30,55.8
1801-10-31,54.3
1801-11-30,66.3
1801-12-31,80.3
1802-01-31,79.7
1802-02-28,78.3
1802-03-31,68
1802-04-30,70
1802-05-31,73.3
1802-06-30,76.7
1802-07-31,80
1802-08-31,83.3
1802-09-30,86.3
1802-10-31,64.2
1802-11-30,57.5
1802-12-31,83.3
1803-01-31,83.3
1803-02-28,84.7
1803-03-31,49.2
1803-04-30,41.7
1803-05-31,73.8
1803-06-30,60
1803-07-31,80.5
1803-08-31,56.8
1803-09-30,75.5
1803-10-31,90.5
1803-11-30,85
1803-12-31,80
1804-01-31,75.5
1804-02-29,80.5
1804-03-31,80
1804-04-30,84.3
1804-05-31,55.7
1804-06-30,58
1804-07-31,49.7
1804-08-31,71.8
1804-09-30,88.3
1804-10-31,103.8
1804-11-30,101.7
1804-12-31,100
1805-01-31,101.7
1805-02-28,73.5
1805-03-31,85.7
1805-04-30,62.5
1805-05-31,65
1805-06-30,67.5
1805-07-31,62.7
1805-08-31,71.2
1805-09-30,74
1805-10-31,49
1805-11-30,68.3
1805-12-31,63.8
1806-01-31,65
1806-02-28,49.3
1806-03-31,54.5
1806-04-30,46.2
1806-05-31,44
1806-06-30,42.7
1806-07-31,50
1806-08-31,43.8
1806-09-30,40
1806-10-31,45
1806-11-30,41.7
1806-12-31,40
1807-01-31,20
1807-02-28,20.3
1807-03-31,16
1807-04-30,39.7
1807-05-31,16.7
1807-06-30,20
1807-07-31,21.2
1807-08-31,20
1807-09-30,9.5
1807-10-31,13.3
1807-11-30,4.3
1807-12-31,0
1808-01-31,0
1808-02-29,7.5
1808-03-31,0
1808-04-30,20.5
1808-05-31,22.5
1808-06-30,22.5
1808-07-31,11.2
1808-08-31,13.3
1808-09-30,19.5
1808-10-31,7.8
1808-11-30,17.5
1808-12-31,20.5
1809-01-31,12
1809-02-28,15.3
1809-03-31,1.5
1809-04-30,4.2
1809-05-31,3.3
1809-06-30,12.8
1809-07-31,0.5
1809-08-31,0.3
1809-09-30,0.7
1809-10-31,0
1809-11-30,0
1809-12-31,0
1810-01-31,0
1810-02-28,0
1810-03-31,0
1810-04-30,0
1810-05-31,0
1810-06-30,0
1810-07-31,0
1810-08-31,0
1810-09-30,0
1810-10-31,0
1810-11-30,0
1810-12-31,0
1811-01-31,0
1811-02-28,0
1811-03-31,0
1811-04-30,0
1811-05-31,0
1811-06-30,0
1811-07-31,11
1811-08-31,0
1811-09-30,4
1811-10-31,10.2
1811-11-30,1.3
1811-12-31,1.8
1812-01-31,18.8
1812-02-29,3.2
1812-03-31,1.2
1812-04-30,0
1812-05-31,1.7
1812-06-30,2.2
1812-07-31,0.8
1812-08-31,26
1812-09-30,8.7
1812-10-31,6.5
1812-11-30,13.2
1812-12-31,16.8
1813-01-31,0
1813-02-28,17.2
1813-03-31,3.2
1813-04-30,27.7
1813-05-31,9.2
1813-06-30,18.7
1813-07-31,30.5
1813-08-31,14
1813-09-30,25.5
1813-10-31,46.3
1813-11-30,27.8
1813-12-31,23.8
1814-01-31,37
1814-02-28,20
1814-03-31,9.5
1814-04-30,39.7
1814-05-31,9.7
1814-06-30,24.8
1814-07-31,30.8
1814-08-31,3.8
1814-09-30,13.5
1814-10-31,32.2
1814-11-30,24.2
1814-12-31,33.5
1815-01-31,32
1815-02-28,53.7
1815-03-31,43.7
1815-04-30,52.7
1815-05-31,16.3
1815-06-30,93.2
1815-07-31,59.2
1815-08-31,78.7
1815-09-30,52.5
1815-10-31,55.8
1815-11-30,62
1815-12-31,108.3
1816-01-31,43.8
1816-02-29,114.7
1816-03-31,122.8
1816-04-30,98
1816-05-31,73.8
1816-06-30,72.7
1816-07-31,64.7
1816-08-31,38.7
1816-09-30,79.7
1816-10-31,94
1816-11-30,63.5
1816-12-31,49.8
1817-01-31,60.7
1817-02-28,96.5
1817-03-31,160.3
1817-04-30,44
1817-05-31,35.3
1817-06-30,66.7
1817-07-31,83.3
1817-08-31,75
1817-09-30,61.2
1817-10-31,42.7
1817-11-30,48.2
1817-12-31,47.3
1818-01-31,58.1
1818-02-28,37.4
1818-03-31,42.4
1818-04-30,57.5
1818-05-31,88.5
1818-06-30,60.8
1818-07-31,46.8
1818-08-31,52.6
1818-09-30,43.4
1818-10-31,52.8
1818-11-30,18.3
1818-12-31,43
1819-01-31,54.7
1819-02-28,34.6
1819-03-31,6.3
1819-04-30,33.7
1819-05-31,32.6
1819-06-30,58.3
1819-07-31,52.5
1819-08-31,43.5
1819-09-30,24.8
1819-10-31,45.9
1819-11-30,41.8
1819-12-31,50.9
1820-01-31,32
1820-02-29,44.4
1820-03-31,7.5
1820-04-30,32.3
1820-05-31,48.9
1820-06-30,17.9
1820-07-31,34.1
1820-08-31,43.1
1820-09-30,8.6
1820-10-31,14.9
1820-11-30,13.2
1820-12-31,15.1
1821-01-31,36
1821-02-28,7
1821-03-31,9.5
1821-04-30,15.2
1821-05-31,2.8
1821-06-30,3
1821-07-31,4.3
1821-08-31,8
1821-09-30,7.3
1821-10-31,31.4
1821-11-30,7.3
1821-12-31,0.4
1822-01-31,0
1822-02-28,1.5
1822-03-31,26.9
1822-04-30,21.7
1822-05-31,2.4
1822-06-30,9.3
1822-07-31,13.2
1822-08-31,3.4
1822-09-30,0
1822-10-31,0.6
1822-11-30,0
1822-12-31,0
1823-01-31,0
1823-02-28,0
1823-03-31,1
1823-04-30,0
1823-05-31,0
1823-06-30,0
1823-07-31,0.8
1823-08-31,0
1823-09-30,0
1823-10-31,0
1823-11-30,0
1823-12-31,34
1824-01-31,36
1824-02-29,18
1824-03-31,0
1824-04-30,32.3
1824-05-31,4.6
1824-06-30,0
1824-07-31,0
1824-08-31,2.3
1824-09-30,34.3
1824-10-31,42
1824-11-30,0
1824-12-31,1.4
1825-01-31,8.4
1825-02-28,25.9
1825-03-31,37.4
1825-04-30,6.2
1825-05-31,25.8
1825-06-30,25.6
1825-07-31,51.5
1825-08-31,42.8
1825-09-30,26.2
1825-10-31,26
1825-11-30,19.6
1825-12-31,36.7
1826-01-31,29.4
1826-02-28,30.2
1826-03-31,61.3
1826-04-30,40
1826-05-31,53.9
1826-06-30,61.7
1826-07-31,87.5
1826-08-31,66
1826-09-30,31.6
1826-10-31,84.4
1826-11-30,65.8
1826-12-31,113.6
1827-01-31,57.7
1827-02-28,79
1827-03-31,96.3
1827-04-30,76.7
1827-05-31,93.8
1827-06-30,94.4
1827-07-31,70.4
1827-08-31,89.4
1827-09-30,82.6
1827-10-31,93.5
1827-11-30,80.4
1827-12-31,76.8
1828-01-31,88
1828-02-29,107.3
1828-03-31,108.5
1828-04-30,101.9
1828-05-31,148.6
1828-06-30,163.4
1828-07-31,90.4
1828-08-31,127.3
1828-09-30,83.9
1828-10-31,91.1
1828-11-30,95
1828-12-31,78.1
1829-01-31,71.6
1829-02-28,82.3
1829-03-31,120.6
1829-04-30,158.4
1829-05-31,112.3
1829-06-30,123.2
1829-07-31,151.5
1829-08-31,129.3
1829-09-30,88
1829-10-31,95.3
1829-11-30,112.7
1829-12-31,94.1
1830-01-31,87
1830-02-28,120.1
1830-03-31,141
1830-04-30,177.3
1830-05-31,110.5
1830-06-30,108.4
1830-07-31,73.2
1830-08-31,84.6
1830-09-30,103.4
1830-10-31,140.6
1830-11-30,135.4
1830-12-31,136.8
1831-01-31,79
1831-02-28,83.6
1831-03-31,155.8
1831-04-30,90.9
1831-05-31,63.4
1831-06-30,55.6
1831-07-31,75.4
1831-08-31,91.6
1831-09-30,63.2
1831-10-31,77.1
1831-11-30,72.5
1831-12-31,48.3
1832-01-31,51.5
1832-02-29,92.6
1832-03-31,91.9
1832-04-30,44.8
1832-05-31,68.9
1832-06-30,44.5
1832-07-31,23.3
1832-08-31,14.8
1832-09-30,13.7
1832-10-31,35.2
1832-11-30,23.8
1832-12-31,45.8
1833-01-31,18.7
1833-02-28,24.9
1833-03-31,19.6
1833-04-30,4.6
1833-05-31,21.5
1833-06-30,1.7
1833-07-31,11.6
1833-08-31,9.5
1833-09-30,19.3
1833-10-31,12.5
1833-11-30,9.8
1833-12-31,16.6
1834-01-31,8.2
1834-02-28,30.1
1834-03-31,6.5
1834-04-30,2.4
1834-05-31,14.8
1834-06-30,13.1
1834-07-31,14.4
1834-08-31,6.6
1834-09-30,19.2
1834-10-31,41.3
1834-11-30,50.9
1834-12-31,57.5
1835-01-31,12.4
1835-02-28,40.7
1835-03-31,32.7
1835-04-30,102.4
1835-05-31,72.6
1835-06-30,55.2
1835-07-31,99.6
1835-08-31,98.5
1835-09-30,168
1835-10-31,158.6
1835-11-30,166.7
1835-12-31,129.3
1836-01-31,147.6
1836-02-29,179.4
1836-03-31,163.7
1836-04-30,238
1836-05-31,185.7
1836-06-30,207.9
1836-07-31,194.6
1836-08-31,179.6
1836-09-30,158.5
1836-10-31,228.9
1836-11-30,201.5
1836-12-31,343.8
1837-01-31,313.4
1837-02-28,292.6
1837-03-31,224.3
1837-04-30,230.3
1837-05-31,186.1
1837-06-30,263.4
1837-07-31,271.2
1837-08-31,223.5
1837-09-30,160.4
1837-10-31,206.2
1837-11-30,178.4
1837-12-31,216.1
1838-01-31,241.5
1838-02-28,141.3
1838-03-31,234.5
1838-04-30,211.1
1838-05-31,229.4
1838-06-30,157.6
1838-07-31,180.4
1838-08-31,131.3
1838-09-30,122.7
1838-10-31,151.5
1838-11-30,129.2
1838-12-31,132.9
1839-01-31,175.9
1839-02-28,170.8
1839-03-31,129.5
1839-04-30,102.9
1839-05-31,89.6
1839-06-30,91.2
1839-07-31,141.3
1839-08-31,218.8
1839-09-30,221.1
1839-10-31,151.5
1839-11-30,114.7
1839-12-31,106.2
1840-01-31,135.4
1840-02-29,146.1
1840-03-31,112.9
1840-04-30,109.8
1840-05-31,115.4
1840-06-30,80.9
1840-07-31,101
1840-08-31,96.4
1840-09-30,123.3
1840-10-31,91.7
1840-11-30,90.4
1840-12-31,89.5
1841-01-31,40.1
1841-02-28,49.9
1841-03-31,49.6
1841-04-30,66.9
1841-05-31,112.4
1841-06-30,92.8
1841-07-31,51.4
1841-08-31,65.4
1841-09-30,60.9
1841-10-31,47.4
1841-11-30,32.9
1841-12-31,64.8
1842-01-31,34
1842-02-28,36.8
1842-03-31,36.2
1842-04-30,44.9
1842-05-31,41.4
1842-06-30,34.2
1842-07-31,21
1842-08-31,44.4
1842-09-30,30.6
1842-10-31,63.5
1842-11-30,67.5
1842-12-31,29.3
1843-01-31,22.2
1843-02-28,5.9
1843-03-31,13.9
1843-04-30,15.8
1843-05-31,35.1
1843-06-30,17.6
1843-07-31,15.9
1843-08-31,19.6
1843-09-30,6.9
1843-10-31,8.9
1843-11-30,31.7
1843-12-31,21.2
1844-01-31,15.7
1844-02-29,24.5
1844-03-31,22.5
1844-04-30,34.6
1844-05-31,19.2
1844-06-30,6.2
1844-07-31,35.2
1844-08-31,39.7
1844-09-30,11.6
1844-10-31,35.9
1844-11-30,17.9
1844-12-31,36
1845-01-31,42.8
1845-02-28,72.8
1845-03-31,72.1
1845-04-30,95
1845-05-31,79.7
1845-06-30,51.8
1845-07-31,51
1845-08-31,53.9
1845-09-30,49.3
1845-10-31,67.8
1845-11-30,65.7
1845-12-31,99.5
1846-01-31,64.6
1846-02-28,84.9
1846-03-31,106.5
1846-04-30,115.5
1846-05-31,99.9
1846-06-30,108.4
1846-07-31,77.5
1846-08-31,91.3
1846-09-30,178.6
1846-10-31,93.4
1846-11-30,100.6
1846-12-31,109.1
1847-01-31,104.4
1847-02-28,74.9
1847-03-31,143
1847-04-30,74.6
1847-05-31,125.7
1847-06-30,142.2
1847-07-31,87.1
1847-08-31,234.3
1847-09-30,268.2
1847-10-31,300.6
1847-11-30,231.5
1847-12-31,182.6
1848-01-31,265.2
1848-02-29,186.4
1848-03-31,181.2
1848-04-30,178.6
1848-05-31,170.5
1848-06-30,214.9
1848-07-31,232
1848-08-31,220.9
1848-09-30,167.3
1848-10-31,220.6
1848-11-30,191
1848-12-31,265.8
1849-01-31,298.3
1849-02-28,250.3
1849-03-31,182.7
1849-04-30,194.7
1849-05-31,153.2
1849-06-30,154.2
1849-07-31,148.2
1849-08-31,128.6
1849-09-30,178
1849-10-31,135.7
1849-11-30,188.2
1849-12-31,184.3
1850-01-31,148.2
1850-02-28,169.8
1850-03-31,156.8
1850-04-30,83.8
1850-05-31,117
1850-06-30,133
1850-07-31,74.3
1850-08-31,117
1850-09-30,163.7
1850-10-31,134.9
1850-11-30,104.1
1850-12-31,115.9
1851-01-31,143.5
1851-02-28,200.1
1851-03-31,122.8
1851-04-30,107.3
1851-05-31,118.9
1851-06-30,120
1851-07-31,68.6
1851-08-31,109
1851-09-30,128.9
1851-10-31,118.7
1851-11-30,96.8
1851-12-31,135.5
1852-01-31,129.9
1852-02-29,126.2
1852-03-31,116.2
1852-04-30,124.3
1852-05-31,104.3
1852-06-30,89
1852-07-31,80
1852-08-31,75.3
1852-09-30,71.2
1852-10-31,127.9
1852-11-30,103.1
1852-12-31,86.1
1853-01-31,77.9
1853-02-28,81.5
1853-03-31,71.6
1853-04-30,90.4
1853-05-31,65.9
1853-06-30,76
1853-07-31,87.2
1853-08-31,95.8
1853-09-30,63.7
1853-10-31,80.5
1853-11-30,54.7
1853-12-31,44.5
1854-01-31,29.3
1854-02-28,38
1854-03-31,39.4
1854-04-30,50.3
1854-05-31,45.6
1854-06-30,40.1
1854-07-31,35.5
1854-08-31,30.1
1854-09-30,42.6
1854-10-31,24.1
1854-11-30,53.5
1854-12-31,41.1
1855-01-31,23.4
1855-02-28,21.6
1855-03-31,33
1855-04-30,8.4
1855-05-31,17.3
1855-06-30,10
1855-07-31,0.7
1855-08-31,5.9
1855-09-30,0
1855-10-31,18.3
1855-11-30,7.9
1855-12-31,5.8
1856-01-31,1
1856-02-29,9.3
1856-03-31,0.7
1856-04-30,12.4
1856-05-31,0
1856-06-30,9.8
1856-07-31,8.8
1856-08-31,11.3
1856-09-30,8.4
1856-10-31,8.5
1856-11-30,14.7
1856-12-31,13.7
1857-01-31,26
1857-02-28,14.2
1857-03-31,10
1857-04-30,21.1
1857-05-31,54.2
1857-06-30,30.5
1857-07-31,42.2
1857-08-31,32
1857-09-30,80.6
1857-10-31,77.1
1857-11-30,59.6
1857-12-31,70.7
1858-01-31,74.2
1858-02-28,66.3
1858-03-31,109.2
1858-04-30,72.8
1858-05-31,78.6
1858-06-30,84.5
1858-07-31,107.7
